iter	Passed	Remaining
408	4106	5933
409	4117	5924
410	4125	5912
411	4135	5901
412	4144	5890
413	4154	5881
414	4164	5870
415	4173	5858
416	4182	5847
417	4190	5835
418	4200	5824
419	4208	5811
420	4218	5801
421	4226	5788
422	4236	5779
423	4245	5767
424	4254	5756
425	4265	5747
426	4274	5735
427	4283	5725
428	4292	5713
429	4302	5703
430	4311	5691
431	4320	5680
432	4329	5669
433	4338	5657
434	4348	5647
435	4356	5635
436	4365	5624
437	4373	5611
438	4383	5601
439	4391	5589
440	4402	5580
441	4411	5569
442	4420	5557
443	4429	5546
444	4437	5534
445	4447	5524
446	4455	5512
447	4465	5502
448	4475	5492
449	4484	5480
450	4493	5469
451	4502	5458
452	4513	5449
453	4520	5436
454	4531	5427
455	4539	5415
456	4548	5404
457	4557	5393
458	4567	5382
459	4577	5373
460	4585	5360
461	4594	5350
462	4602	5337
463	4612	5328
464	4620	5315
465	4629	5305
466	4638	5293
467	4646	5282
468	4655	5271
469	4663	5259
470	4673	5248
471	4680	5236
472	4690	5226
473	4699	5215
474	4709	5204
475	4716	5192
476	4725	5180
477	4732	5167
478	4742	5157
479	4750	5146
480	4760	5137
481	4771	5128
482	4779	5115
483	4787	5103
484	4794	5091
485	4802	5079
486	4811	5067
487	4820	5057
488	4828	5045
489	4837	5034
490	4845	5022
491	4854	5012
492	4861	4999
493	4870	4989
494	4878	4977
495	4888	4967
496	4897	4957
497	4907	4946
498	4917	4936
499	4924	4924
500	4931	4911
501	4940	4900
502	4947	4888
503	4955	4877
504	4963	4865
505	4972	4854
506	4978	4841
507	4988	4831
508	4996	4819
509	5007	4810
510	5015	4799
511	5023	4787
512	5030	4775
513	5039	4764
514	5047	4753
515	5056	4742
516	5064	4731
517	5071	4719
518	5079	4707
519	5089	4697
520	5098	4687
521	5107	4677
522	5117	4667
523	5125	4656
524	5134	4645
525	5143	4634
526	5152	4624
527	5159	4612
528	5168	4602
529	5176	4590
530	5185	4580
531	5193	4568
532	5203	4559
533	5215	4551
534	5225	4541
535	5233	4530
536	5240	4518
537	5250	4509
538	5258	4497
539	5267	4487
540	5274	4475
541	5283	4464
542	5291	4453
543	5300	4442
544	5307	4431
545	5315	4420
546	5322	4407
547	5331	4397
548	5338	4385
549	5346	4374
550	5354	4363
551	5361	4351
552	5369	4339
553	5376	4328
554	5385	4317
555	5393	4306
556	5401	4295
557	5410	4285
558	5417	4274
559	5425	4262
560	5432	4251
561	5440	4240
562	5449	4230
563	5460	4220
564	5467	4209
565	5478	4200
566	5486	4189
567	5494	4178
568	5502	4168
569	5511	4157
570	5520	4147
571	5529	4137
572	5537	4126
573	5544	4115
574	5552	4104
575	5561	4093
576	5568	4082
577	5577	4071
578	5586	4062
579	5595	4051
580	5602	4040
581	5610	4029
582	5618	4018
583	5626	4008
584	5636	3998
585	5646	3988
586	5655	3979
587	5664	3968
588	5671	3957
589	5680	3947
590	5687	3936
591	5695	3924
592	5702	3913
593	5709	3902
594	5717	3891
595	5726	3881
596	5735	3871
597	5744	3861
598	5751	3850
599	5759	3839
600	5767	3829
601	5776	3819
602	5785	3808
603	5792	3797
604	5799	3786
605	5807	3775
606	5814	3764
607	5823	3754
608	5831	3743
609	5838	3733
610	5847	3722
611	5855	3712
612	5863	3701
613	5871	3691
614	5879	3680
615	5887	3670
616	5895	3659
617	5903	3648
618	5910	3638
619	5918	3627
620	5926	3616
621	5933	3606
622	5941	3595
623	5949	3585
624	5959	3575
625	5967	3565
626	5976	3555
627	5985	3545
628	5993	3535
629	6002	3525
630	6009	3514
631	6017	3503
632	6024	3493
633	6033	3482
634	6041	3472
635	6049	3462
636	6056	3451
637	6064	3441
638	6071	3430
639	6079	3419
640	6086	3408
641	6093	3397
642	6101	3387
643	6108	3376
644	6116	3366
645	6124	3355
646	6132	3345
647	6139	3335
648	6147	3324
649	6154	3314
650	6163	3304
651	6171	3293
652	6178	3283
653	6186	3272
654	6193	3262
655	6202	3252
656	6210	3242
657	6218	3232
658	6226	3222
659	6235	3212
660	6244	3202
661	6252	3192
662	6261	3182
663	6270	3172
664	6279	3163
665	6286	3152
666	6294	3142
667	6301	3131
668	6309	3121
669	6317	3111
670	6325	3101
671	6333	3091
672	6341	3081
673	6348	3070
674	6355	3060
675	6363	3049
676	6370	3039
677	6378	3029
678	6386	3019
679	6395	3009
680	6403	2999
681	6412	2990
682	6419	2979
683	6427	2969
684	6434	2959
685	6442	2948
686	6450	2938
687	6458	2929
688	6466	2918
689	6476	2909
690	6484	2899
691	6493	2889
692	6500	2879
693	6510	2870
694	6517	2860
695	6526	2850
696	6534	2840
697	6544	2831
698	6552	2821
699	6561	2812
700	6571	2802
701	6579	2793
702	6589	2783
703	6597	2773
704	6605	2764
705	6613	2753
706	6622	2744
707	6630	2734
708	6639	2725
709	6649	2715
710	6658	2706
711	6665	2696
712	6674	2686
713	6681	2676
714	6690	2667
715	6698	2656
716	6707	2647
717	6716	2637
718	6726	2628
719	6736	2619
720	6744	2609
721	6753	2600
722	6761	2590
723	6770	2580
724	6779	2571
725	6789	2562
726	6798	2552
727	6807	2543
728	6816	2534
729	6826	2525
730	6836	2515
731	6845	2506
732	6854	2496
733	6864	2487
734	6873	2478
735	6880	2467
736	6889	2458
737	6897	2448
738	6905	2438
739	6914	2429
740	6922	2419
741	6930	2409
742	6938	2400
743	6946	2390
744	6955	2380
745	6964	2371
746	6971	2361
747	6978	2351
748	6986	2341
749	6993	2331
750	7001	2321
751	7008	2311
752	7017	2301
753	7024	2291
754	7033	2282
755	7040	2272
756	7048	2262
757	7055	2252
758	7064	2243
759	7071	2233
760	7079	2223
761	7086	2213
762	7093	2203
763	7101	2193
764	7108	2183
765	7117	2174
766	7124	2164
767	7133	2154
768	7140	2145
769	7148	2135
770	7155	2125
771	7164	2115
772	7171	2105
773	7180	2096
774	7187	2086
775	7195	2077
776	7202	2067
777	7211	2057
778	7219	2048
779	7228	2038
780	7236	2029
781	7245	2019
782	7253	2010
783	7263	2001
784	7271	1991
785	7280	1982
786	7287	1972
787	7295	1962
788	7302	1952
789	7310	1943
790	7317	1933
791	7326	1924
792	7333	1914
793	7341	1904
794	7349	1895
795	7357	1885
796	7364	1875
797	7372	1866
798	7379	1856
799	7387	1846
800	7396	1837
801	7404	1828
802	7413	1818
803	7421	1809
804	7429	1799
805	7438	1790
806	7446	1780
807	7455	1771
808	7463	1761
809	7470	1752
810	7478	1742
811	7486	1733
812	7493	1723
813	7500	1713
814	7508	1704
815	7515	1694
816	7523	1685
817	7531	1675
818	7539	1666
819	7547	1656
820	7555	1647
821	7563	1637
822	7572	1628
823	7580	1619
824	7589	1609
825	7596	1600
826	7604	1590
827	7613	1581
828	7621	1572
829	7628	1562
830	7636	1552
831	7643	1543
832	7651	1533
833	7659	1524
834	7667	1515
835	7674	1505
836	7681	1496
837	7689	1486
838	7696	1476
839	7704	1467
840	7711	1457
841	7720	1448
842	7727	1439
843	7735	1429
844	7743	1420
845	7751	1411
846	7760	1401
847	7768	1392
848	7776	1383
849	7784	1373
850	7791	1364
851	7799	1354
852	7806	1345
